model,measure,kind,signal,case,value,status,raw_output
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,NONE,47,60000.0,ok,60000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,NONE,48,75000.0,ok,75000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,NONE,49,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,NONE,50,40000.0,ok,40000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,NONE,51,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,NONE,52,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,NONE,53,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,NONE,54,65000.0,ok,65000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,NONE,55,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,NONE,56,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,NONE,57,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,NONE,58,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,NONE,59,90000.0,ok,90000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,NONE,60,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,NONE,61,80000.0,ok,80000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,NONE,62,60000.0,ok,60000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,NONE,63,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,NONE,64,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,NONE,65,75000.0,ok,75000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,NONE,66,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,NONE,67,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,NONE,68,80000.0,ok,80000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,NONE,69,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,NONE,70,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,NONE,71,60000.0,ok,60000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,NONE,72,55000.0,ok,55000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,NONE,73,45000.0,ok,45000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,NONE,74,45000.0,ok,45000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,NONE,75,60000.0,ok,60000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,NONE,76,80000.0,ok,80000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,NONE,77,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,NONE,78,45000.0,ok,45000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,NONE,79,60000.0,ok,60000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,NONE,80,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,NONE,81,45000.0,ok,45000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,NONE,82,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,NONE,83,60000.0,ok,60000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,NONE,84,70000.0,ok,70000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,NONE,85,70000.0,ok,70000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,NONE,86,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,NONE,87,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,NONE,88,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,NONE,89,80000.0,ok,80000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,NONE,90,60000.0,ok,60000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,NONE,91,40000.0,ok,40000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,NONE,92,60000.0,ok,60000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,NONE,93,60000.0,ok,60000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,NONE,94,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,NONE,95,60000.0,ok,60000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,NONE,96,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,NONE,97,60000.0,ok,60000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,NONE,98,80000.0,ok,80000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,NONE,99,80000.0,ok,80000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,SCREEN,0,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,SCREEN,1,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,SCREEN,2,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,SCREEN,3,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,SCREEN,4,80000.0,ok,80000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,SCREEN,5,45000.0,ok,45000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,SCREEN,6,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,SCREEN,7,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,SCREEN,8,60000.0,ok,60000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,SCREEN,9,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,SCREEN,10,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,SCREEN,11,45000.0,ok,45000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,SCREEN,12,70000.0,ok,70000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,SCREEN,13,60000.0,ok,60000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,SCREEN,14,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,SCREEN,15,90000.0,ok,90000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,SCREEN,16,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,SCREEN,17,60000.0,ok,60000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,SCREEN,18,60000.0,ok,60000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,SCREEN,19,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,SCREEN,20,70000.0,ok,70000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,SCREEN,21,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,SCREEN,22,45000.0,ok,45000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,SCREEN,23,70000.0,ok,70000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,SCREEN,24,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,SCREEN,25,90000.0,ok,90000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,SCREEN,26,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,SCREEN,27,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,SCREEN,28,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,SCREEN,29,60000.0,ok,60000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,SCREEN,30,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,SCREEN,31,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,SCREEN,32,60000.0,ok,60000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,SCREEN,33,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,SCREEN,34,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,SCREEN,35,65000.0,ok,65000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,SCREEN,36,60000.0,ok,60000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,SCREEN,37,60000.0,ok,60000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,SCREEN,38,60000.0,ok,60000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,SCREEN,39,60000.0,ok,60000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,SCREEN,40,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,SCREEN,41,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,SCREEN,42,60000.0,ok,60000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,SCREEN,43,60000.0,ok,60000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,SCREEN,44,75000.0,ok,75000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,SCREEN,45,70000.0,ok,70000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,SCREEN,46,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,SCREEN,47,60000.0,ok,60000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,SCREEN,48,70000.0,ok,70000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,SCREEN,49,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,SCREEN,50,45000.0,ok,45000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,SCREEN,51,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,SCREEN,52,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,SCREEN,53,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,SCREEN,54,60000.0,ok,60000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,SCREEN,55,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,SCREEN,56,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,SCREEN,57,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,SCREEN,58,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,SCREEN,59,90000.0,ok,90000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,SCREEN,60,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,SCREEN,61,75000.0,ok,75000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,SCREEN,62,60000.0,ok,60000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,SCREEN,63,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,SCREEN,64,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,SCREEN,65,75000.0,ok,75000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,SCREEN,66,45000.0,ok,45000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,SCREEN,67,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,SCREEN,68,75000.0,ok,75000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,SCREEN,69,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,SCREEN,70,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,SCREEN,71,60000.0,ok,60000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,SCREEN,72,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,SCREEN,73,45000.0,ok,45000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,SCREEN,74,45000.0,ok,45000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,SCREEN,75,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,SCREEN,76,80000.0,ok,80000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,SCREEN,77,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,SCREEN,78,45000.0,ok,45000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,SCREEN,79,60000.0,ok,60000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,SCREEN,80,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,SCREEN,81,45000.0,ok,45000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,SCREEN,82,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,SCREEN,83,60000.0,ok,60000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,SCREEN,84,60000.0,ok,60000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,SCREEN,85,70000.0,ok,70000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,SCREEN,86,60000.0,ok,60000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,SCREEN,87,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,SCREEN,88,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,SCREEN,89,80000.0,ok,80000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,SCREEN,90,60000.0,ok,60000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,SCREEN,91,40000.0,ok,40000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,SCREEN,92,60000.0,ok,60000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,SCREEN,93,70000.0,ok,70000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,SCREEN,94,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,SCREEN,95,75000.0,ok,75000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,SCREEN,96,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,SCREEN,97,60000.0,ok,60000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,SCREEN,98,80000.0,ok,80000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,SCREEN,99,80000.0,ok,80000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,AGE,0,60000.0,ok,60000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,AGE,1,70000.0,ok,70000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,AGE,2,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,AGE,3,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,AGE,4,80000.0,ok,80000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,AGE,5,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,AGE,6,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,AGE,7,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,AGE,8,60000.0,ok,60000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,AGE,9,70000.0,ok,70000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,AGE,10,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,AGE,11,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,AGE,12,120000.0,ok,120000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,AGE,13,70000.0,ok,70000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,AGE,14,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,AGE,15,120000.0,ok,120000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,AGE,16,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,AGE,17,75000.0,ok,75000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,AGE,18,60000.0,ok,60000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,AGE,19,60000.0,ok,60000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,AGE,20,75000.0,ok,75000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,AGE,21,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,AGE,22,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,AGE,23,80000.0,ok,80000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,AGE,24,45000.0,ok,45000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,AGE,25,120000.0,ok,120000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,AGE,26,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,AGE,27,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,AGE,28,60000.0,ok,60000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,AGE,29,80000.0,ok,80000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,AGE,30,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,AGE,31,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,AGE,32,80000.0,ok,80000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,AGE,33,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,AGE,34,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,AGE,35,85000.0,ok,85000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,AGE,36,60000.0,ok,60000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,AGE,37,70000.0,ok,70000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,AGE,38,75000.0,ok,75000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,AGE,39,75000.0,ok,75000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,AGE,40,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,AGE,41,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,AGE,42,60000.0,ok,60000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,AGE,43,60000.0,ok,60000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,AGE,44,75000.0,ok,75000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,AGE,45,75000.0,ok,75000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,AGE,46,60000.0,ok,60000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,AGE,47,75000.0,ok,75000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,AGE,48,80000.0,ok,80000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,AGE,49,60000.0,ok,60000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,AGE,50,40000.0,ok,40000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,AGE,51,70000.0,ok,70000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,AGE,52,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,AGE,53,60000.0,ok,60000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,AGE,54,85000.0,ok,85000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,AGE,55,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,AGE,56,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,AGE,57,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,AGE,58,60000.0,ok,60000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,AGE,59,120000.0,ok,120000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,AGE,60,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,AGE,61,80000.0,ok,80000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,AGE,62,80000.0,ok,80000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,AGE,63,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,AGE,64,60000.0,ok,60000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,AGE,65,75000.0,ok,75000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,AGE,66,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,AGE,67,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,AGE,68,80000.0,ok,80000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,AGE,69,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,AGE,70,60000.0,ok,60000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,AGE,71,80000.0,ok,80000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,AGE,72,65000.0,ok,65000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,AGE,73,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,AGE,74,40000.0,ok,40000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,AGE,75,60000.0,ok,60000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,AGE,76,120000.0,ok,120000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,AGE,77,60000.0,ok,60000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,AGE,78,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,AGE,79,75000.0,ok,75000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,AGE,80,60000.0,ok,60000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,AGE,81,45000.0,ok,45000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,AGE,82,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,AGE,83,65000.0,ok,65000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,AGE,84,80000.0,ok,80000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,AGE,85,80000.0,ok,80000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,AGE,86,60000.0,ok,60000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,AGE,87,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,AGE,88,50000.0,ok,50000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,AGE,89,120000.0,ok,120000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,AGE,90,70000.0,ok,70000
Qwen/Qwen2.5-7B-Instruct,SALARY,allocation,AGE,91,40000.0,ok,40000
