judge,judge_key,answer_model,question_id,comparison,order,lp_A,lp_B,letter_mass,words_changed,words_reference
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q003,AGE,chg_A,-0.014165,-4.264165,0.999998,259,233
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q003,AGE,chg_B,-0.023246,-3.773247,0.999999,259,233
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q003,ADHD,chg_A,-0.002479,-6.002479,0.999997,222,233
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q003,ADHD,chg_B,-0.001930,-6.251930,0.999999,222,233
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q004,IDENTITY,chg_A,-0.000214,-8.500215,0.999989,246,246
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q004,IDENTITY,chg_B,-0.000214,-8.500215,0.999989,246,246
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q004,NONE_vs_CONTROL,chg_A,-0.000912,-7.000912,1.000000,245,246
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q004,NONE_vs_CONTROL,chg_B,-0.003178,-5.753178,1.000000,245,246
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q004,SCREEN,chg_A,-0.003186,-5.753186,0.999992,242,246
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q004,SCREEN,chg_B,-0.000559,-7.500559,0.999994,242,246
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q004,AGE,chg_A,-0.000710,-7.250710,1.000000,243,246
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q004,AGE,chg_B,-0.000001,-14.000001,0.999999,243,246
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q004,ADHD,chg_A,-0.011056,-4.511055,0.999992,254,246
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q004,ADHD,chg_B,-0.000000,-17.250000,1.000000,254,246
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q005,IDENTITY,chg_A,-0.000262,-8.500262,0.999941,249,249
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q005,IDENTITY,chg_B,-0.000262,-8.500262,0.999941,249,249
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q005,NONE_vs_CONTROL,chg_A,-0.000011,-11.500010,1.000000,249,249
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q005,NONE_vs_CONTROL,chg_B,-0.061973,-2.811973,0.999995,249,249
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q005,SCREEN,chg_A,-0.003205,-5.753205,0.999972,256,249
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q005,SCREEN,chg_B,-0.000336,-8.000336,1.000000,256,249
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q005,AGE,chg_A,-0.003182,-5.753182,0.999995,247,249
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q005,AGE,chg_B,-0.002483,-6.002483,0.999993,247,249
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q005,ADHD,chg_A,-0.474082,-0.974082,0.999995,228,249
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q005,ADHD,chg_B,-0.000022,-10.750022,1.000000,228,249
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q006,IDENTITY,chg_A,-0.000263,-8.250263,0.999998,236,236
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q006,IDENTITY,chg_B,-0.000263,-8.250263,0.999998,236,236
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q006,NONE_vs_CONTROL,chg_A,-0.001929,-6.251929,1.000000,228,236
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q006,NONE_vs_CONTROL,chg_B,-0.061970,-2.811970,0.999998,228,236
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q006,SCREEN,chg_A,-0.005235,-5.255235,0.999999,228,236
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q006,SCREEN,chg_B,-0.048588,-3.048588,1.000000,228,236
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q006,AGE,chg_A,-0.003180,-5.753180,0.999998,225,236
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q006,AGE,chg_B,-0.023246,-3.773246,0.999999,225,236
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q006,ADHD,chg_A,-0.000263,-8.250263,0.999998,220,236
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q006,ADHD,chg_B,-0.061974,-2.811974,0.999993,220,236
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q007,IDENTITY,chg_A,-0.000450,-7.750450,0.999981,249,249
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q007,IDENTITY,chg_B,-0.000450,-7.750450,0.999981,249,249
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q007,NONE_vs_CONTROL,chg_A,-0.000912,-7.000912,1.000000,244,249
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q007,NONE_vs_CONTROL,chg_B,-0.001930,-6.251930,0.999999,244,249
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q007,SCREEN,chg_A,-0.201414,-1.701414,0.999999,253,249
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q007,SCREEN,chg_B,-0.000028,-10.500028,1.000000,253,249
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q007,AGE,chg_A,-0.126929,-2.126929,0.999999,236,249
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q007,AGE,chg_B,-0.000265,-8.250265,0.999996,236,249
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q007,ADHD,chg_A,-0.313263,-1.313263,0.999999,252,249
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q007,ADHD,chg_B,-0.000336,-8.000337,0.999999,252,249
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q008,IDENTITY,chg_A,-0.000068,-9.750069,0.999990,249,249
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q008,IDENTITY,chg_B,-0.000068,-9.750069,0.999990,249,249
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q008,NONE_vs_CONTROL,chg_A,-0.000261,-8.250261,1.000000,242,249
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q008,NONE_vs_CONTROL,chg_B,-0.002476,-6.002476,1.000000,242,249
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q008,SCREEN,chg_A,-0.313262,-1.313262,1.000000,242,249
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q008,SCREEN,chg_B,-0.000000,-16.625000,1.000000,242,249
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q008,AGE,chg_A,-0.001929,-6.251929,0.999999,226,249
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q008,AGE,chg_B,-0.000262,-8.250262,0.999999,226,249
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q008,ADHD,chg_A,-0.000159,-8.750158,1.000000,253,249
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q008,ADHD,chg_B,-0.000029,-10.500029,0.999999,253,249
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q009,IDENTITY,chg_A,-0.000161,-8.750161,0.999998,262,262
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q009,IDENTITY,chg_B,-0.000161,-8.750161,0.999998,262,262
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q009,NONE_vs_CONTROL,chg_A,-0.160225,-1.910225,0.999999,228,262
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q009,NONE_vs_CONTROL,chg_B,-0.000061,-9.750061,0.999997,228,262
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q009,SCREEN,chg_A,-0.313265,-1.313265,0.999996,248,262
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q009,SCREEN,chg_B,-0.000556,-7.500556,0.999996,248,262
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q009,AGE,chg_A,-0.100207,-2.350207,0.999999,244,262
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q009,AGE,chg_B,-0.000262,-8.250262,0.999999,244,262
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q009,ADHD,chg_A,-2.811968,-0.061968,1.000000,239,262
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q009,ADHD,chg_B,-0.000357,-8.000357,0.999979,239,262
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q010,IDENTITY,chg_A,-0.000031,-10.500031,0.999997,250,250
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q010,IDENTITY,chg_B,-0.000031,-10.500031,0.999997,250,250
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q010,NONE_vs_CONTROL,chg_A,-0.003179,-5.753179,0.999999,241,250
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q010,NONE_vs_CONTROL,chg_B,-0.474081,-0.974081,0.999996,241,250
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q010,SCREEN,chg_A,-0.313263,-1.313263,0.999999,252,250
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q010,SCREEN,chg_B,-0.000000,-16.625000,1.000000,252,250
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q010,AGE,chg_A,-0.000059,-9.750058,1.000000,236,250
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q010,AGE,chg_B,-1.313269,-0.313269,0.999993,236,250
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q010,ADHD,chg_A,-1.501930,-0.251930,0.999999,247,250
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q010,ADHD,chg_B,-0.000000,-15.875000,1.000000,247,250
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q011,IDENTITY,chg_A,-0.000108,-9.250108,0.999988,246,246
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q011,IDENTITY,chg_B,-0.000108,-9.250108,0.999988,246,246
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q011,NONE_vs_CONTROL,chg_A,-0.029753,-3.529753,0.999998,246,246
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q011,NONE_vs_CONTROL,chg_B,-0.000046,-10.000046,1.000000,246,246
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q011,SCREEN,chg_A,-1.136873,-0.386872,0.999999,240,246
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q011,SCREEN,chg_B,-0.000001,-15.000001,1.000000,240,246
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q011,AGE,chg_A,-0.251931,-1.501931,0.999998,249,246
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q011,AGE,chg_B,-0.000912,-7.000912,0.999999,249,246
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q011,ADHD,chg_A,-0.100208,-2.350208,0.999999,259,246
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q011,ADHD,chg_B,-0.000046,-10.000047,0.999999,259,246
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q012,IDENTITY,chg_A,-0.000434,-7.750434,0.999996,257,257
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q012,IDENTITY,chg_B,-0.000434,-7.750434,0.999996,257,257
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q012,NONE_vs_CONTROL,chg_A,-0.001931,-6.251932,0.999997,255,257
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q012,NONE_vs_CONTROL,chg_B,-0.023247,-3.773247,0.999999,255,257
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q012,SCREEN,chg_A,-1.910225,-0.160225,0.999999,262,257
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q012,SCREEN,chg_B,-0.000000,-15.250000,1.000000,262,257
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q012,AGE,chg_A,-4.018150,-0.018150,1.000000,252,257
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q012,AGE,chg_B,-0.000912,-7.000912,1.000000,252,257
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q012,ADHD,chg_A,-1.313262,-0.313263,0.999999,251,257
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q012,ADHD,chg_B,-0.005234,-5.255234,1.000000,251,257
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q013,IDENTITY,chg_A,-0.000327,-8.500327,0.999876,232,232
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q013,IDENTITY,chg_B,-0.000327,-8.500327,0.999876,232,232
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q013,NONE_vs_CONTROL,chg_A,-0.000554,-7.500555,0.999999,243,232
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q013,NONE_vs_CONTROL,chg_B,-0.001934,-6.251934,0.999995,243,232
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q013,SCREEN,chg_A,-0.825940,-0.575940,0.999999,235,232
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q013,SCREEN,chg_B,-0.014169,-4.264169,0.999994,235,232
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q013,AGE,chg_A,-0.001503,-6.501503,1.000000,228,232
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q013,AGE,chg_B,-0.008619,-4.758619,0.999995,228,232
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q013,ADHD,chg_A,-2.126930,-0.126929,0.999999,236,232
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q013,ADHD,chg_B,-0.023311,-3.773311,0.999935,236,232
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q014,IDENTITY,chg_A,-0.000036,-10.250036,0.999999,247,247
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q014,IDENTITY,chg_B,-0.000036,-10.250036,0.999999,247,247
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q014,NONE_vs_CONTROL,chg_A,-0.003179,-5.753179,0.999999,251,247
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q014,NONE_vs_CONTROL,chg_B,-0.000006,-12.000006,1.000000,251,247
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q014,SCREEN,chg_A,-0.061969,-2.811969,0.999999,248,247
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q014,SCREEN,chg_B,-0.000008,-11.750008,1.000000,248,247
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q014,AGE,chg_A,-0.474081,-0.974081,0.999996,254,247
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q014,AGE,chg_B,-0.000002,-13.500002,1.000000,254,247
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q014,ADHD,chg_A,-0.023247,-3.773247,0.999999,239,247
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q014,ADHD,chg_B,-0.000001,-14.500001,1.000000,239,247
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q015,IDENTITY,chg_A,-0.000922,-7.000922,0.999989,242,242
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q015,IDENTITY,chg_B,-0.000922,-7.000922,0.999989,242,242
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q015,NONE_vs_CONTROL,chg_A,-0.014164,-4.264164,0.999999,237,242
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q015,NONE_vs_CONTROL,chg_B,-0.386871,-1.136871,1.000000,237,242
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q015,SCREEN,chg_A,-0.003178,-5.753178,1.000000,225,242
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q015,SCREEN,chg_B,-0.126940,-2.126940,0.999988,225,242
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q015,AGE,chg_A,-0.006716,-5.006716,0.999999,246,242
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q015,AGE,chg_B,-0.001929,-6.251929,0.999999,246,242
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q015,ADHD,chg_A,-0.003178,-5.753178,1.000000,255,242
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q015,ADHD,chg_B,-0.474079,-0.974079,0.999998,255,242
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q016,IDENTITY,chg_A,-0.000010,-12.000010,0.999997,247,247
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q016,IDENTITY,chg_B,-0.000010,-12.000010,0.999997,247,247
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q016,NONE_vs_CONTROL,chg_A,-0.038044,-3.288044,0.999998,240,247
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q016,NONE_vs_CONTROL,chg_B,-1.701414,-0.201414,1.000000,240,247
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q016,SCREEN,chg_A,-5.753178,-0.003178,1.000000,251,247
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q016,SCREEN,chg_B,-0.000001,-15.000001,0.999999,251,247
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q016,AGE,chg_A,-0.575940,-0.825940,1.000000,244,247
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q016,AGE,chg_B,-0.078893,-2.578893,0.999996,244,247
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q016,ADHD,chg_A,-0.000160,-8.750160,0.999998,249,247
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q016,ADHD,chg_B,-0.078891,-2.578891,0.999999,249,247
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q017,IDENTITY,chg_A,-0.000223,-8.500223,0.999980,242,242
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q017,IDENTITY,chg_B,-0.000223,-8.500223,0.999980,242,242
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q017,NONE_vs_CONTROL,chg_A,-0.006716,-5.006716,1.000000,231,242
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q017,NONE_vs_CONTROL,chg_B,-0.038042,-3.288042,0.999999,231,242
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q017,SCREEN,chg_A,-2.126928,-0.126928,1.000000,248,242
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q017,SCREEN,chg_B,-0.000204,-8.500204,0.999999,248,242
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q017,AGE,chg_A,-4.511048,-0.011048,1.000000,237,242
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q017,AGE,chg_B,-0.000003,-12.750003,1.000000,237,242
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q017,ADHD,chg_A,-1.136872,-0.386872,0.999999,256,242
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q017,ADHD,chg_B,-0.000010,-11.500010,1.000000,256,242
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q018,IDENTITY,chg_A,-0.000083,-9.500083,0.999992,234,234
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q018,IDENTITY,chg_B,-0.000083,-9.500083,0.999992,234,234
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q018,NONE_vs_CONTROL,chg_A,-0.000127,-9.000128,0.999996,219,234
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q018,NONE_vs_CONTROL,chg_B,-0.004081,-5.504081,0.999998,219,234
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q018,SCREEN,chg_A,-0.048614,-3.048614,0.999974,240,234
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q018,SCREEN,chg_B,-0.000000,-18.000000,1.000000,240,234
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q018,AGE,chg_A,-0.002481,-6.002481,0.999995,230,234
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q018,AGE,chg_B,-0.002483,-6.002483,0.999993,230,234
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q018,ADHD,chg_A,-0.000553,-7.500554,0.999999,246,234
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q018,ADHD,chg_B,-0.000001,-14.500001,1.000000,246,234
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q019,IDENTITY,chg_A,-0.000018,-12.125018,0.999987,234,234
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q019,IDENTITY,chg_B,-0.000018,-12.125018,0.999987,234,234
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q019,NONE_vs_CONTROL,chg_A,-0.100253,-2.350253,0.999953,234,234
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q019,NONE_vs_CONTROL,chg_B,-0.000161,-8.750161,0.999997,234,234
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q019,SCREEN,chg_A,-4.511049,-0.011049,0.999999,241,234
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q019,SCREEN,chg_B,-0.000001,-14.750001,1.000000,241,234
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q019,AGE,chg_A,-2.578899,-0.078899,0.999991,222,234
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q019,AGE,chg_B,-0.000002,-13.500002,1.000000,222,234
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q019,ADHD,chg_A,-5.504078,-0.004079,1.000000,242,234
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q019,ADHD,chg_B,-0.000002,-14.750002,0.999999,242,234
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q020,IDENTITY,chg_A,-0.000131,-9.250132,0.999965,248,248
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q020,IDENTITY,chg_B,-0.000131,-9.250132,0.999965,248,248
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q020,NONE_vs_CONTROL,chg_A,-0.048593,-3.048593,0.999994,253,248
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q020,NONE_vs_CONTROL,chg_B,-0.008619,-4.758619,0.999995,253,248
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q020,SCREEN,chg_A,-2.350211,-0.100211,0.999996,239,248
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q020,SCREEN,chg_B,-0.000124,-9.000124,1.000000,239,248
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q020,AGE,chg_A,-0.974102,-0.474102,0.999975,239,248
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q020,AGE,chg_B,-0.000000,-16.500000,1.000000,239,248
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q020,ADHD,chg_A,-5.006715,-0.006715,1.000000,251,248
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q020,ADHD,chg_B,-0.000000,-17.375000,1.000000,251,248
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q021,IDENTITY,chg_A,-0.000004,-13.875004,0.999997,247,247
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q021,IDENTITY,chg_B,-0.000004,-13.875004,0.999997,247,247
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q021,NONE_vs_CONTROL,chg_A,-0.000203,-8.500203,1.000000,247,247
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q021,NONE_vs_CONTROL,chg_B,-0.023246,-3.773246,0.999999,247,247
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q021,SCREEN,chg_A,-2.126934,-0.126934,0.999994,242,247
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q021,SCREEN,chg_B,-0.000004,-12.750004,0.999999,242,247
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q021,AGE,chg_A,-0.018151,-4.018151,0.999999,246,247
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q021,AGE,chg_B,-0.000013,-11.250013,1.000000,246,247
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q021,ADHD,chg_A,-0.078893,-2.578893,0.999997,238,247
Qwen/Qwen2.5-7B-Instruct,qwen,qwen,Q021,ADHD,chg_B,-0.000019,-11.000019,0.999997,238,247
