model,measure,signal,case,value,status,raw_output
Qwen/Qwen2.5-7B-Instruct,SUCCESS,ADHD,5,78.2,ok,78.2
Qwen/Qwen2.5-7B-Instruct,SUCCESS,ADHD,6,75.0,ok,75.0
Qwen/Qwen2.5-7B-Instruct,SUCCESS,ADHD,7,72.3,ok,72.3
Qwen/Qwen2.5-7B-Instruct,SUCCESS,ADHD,8,54.2,ok,54.2
Qwen/Qwen2.5-7B-Instruct,SUCCESS,ADHD,9,78.9,ok,78.9
Qwen/Qwen2.5-7B-Instruct,SUCCESS,ADHD,10,72.3,ok,72.3
Qwen/Qwen2.5-7B-Instruct,SUCCESS,ADHD,11,78.2,ok,78.2
Qwen/Qwen2.5-7B-Instruct,SUCCESS,ADHD,12,78.2,ok,78.2
Qwen/Qwen2.5-7B-Instruct,SUCCESS,ADHD,13,75.0,ok,75.0
Qwen/Qwen2.5-7B-Instruct,SUCCESS,ADHD,14,78.9,ok,78.9
Qwen/Qwen2.5-7B-Instruct,SUCCESS,ADHD,15,72.3,ok,72.3
Qwen/Qwen2.5-7B-Instruct,SUCCESS,ADHD,16,78.9,ok,78.9
Qwen/Qwen2.5-7B-Instruct,SUCCESS,ADHD,17,75.0,ok,75.0
Qwen/Qwen2.5-7B-Instruct,SUCCESS,ADHD,18,78.3,ok,78.3
Qwen/Qwen2.5-7B-Instruct,SUCCESS,ADHD,19,72.3,ok,72.3
Qwen/Qwen2.5-7B-Instruct,SCORE,NONE,0,85.0,ok,85
Qwen/Qwen2.5-7B-Instruct,SCORE,NONE,1,75.0,ok,75
Qwen/Qwen2.5-7B-Instruct,SCORE,NONE,2,85.0,ok,85
Qwen/Qwen2.5-7B-Instruct,SCORE,NONE,3,75.0,ok,75
Qwen/Qwen2.5-7B-Instruct,SCORE,NONE,4,85.0,ok,85
Qwen/Qwen2.5-7B-Instruct,SCORE,NONE,5,85.0,ok,85
Qwen/Qwen2.5-7B-Instruct,SCORE,NONE,6,75.0,ok,75
Qwen/Qwen2.5-7B-Instruct,SCORE,NONE,7,75.0,ok,75
Qwen/Qwen2.5-7B-Instruct,SCORE,NONE,8,75.0,ok,75
Qwen/Qwen2.5-7B-Instruct,SCORE,NONE,9,85.0,ok,85
Qwen/Qwen2.5-7B-Instruct,SCORE,NONE,10,85.0,ok,85
Qwen/Qwen2.5-7B-Instruct,SCORE,NONE,11,85.0,ok,85
Qwen/Qwen2.5-7B-Instruct,SCORE,NONE,12,85.0,ok,85
Qwen/Qwen2.5-7B-Instruct,SCORE,NONE,13,75.0,ok,75
Qwen/Qwen2.5-7B-Instruct,SCORE,NONE,14,85.0,ok,85
Qwen/Qwen2.5-7B-Instruct,SCORE,NONE,15,75.0,ok,75
Qwen/Qwen2.5-7B-Instruct,SCORE,NONE,16,85.0,ok,85
Qwen/Qwen2.5-7B-Instruct,SCORE,NONE,17,85.0,ok,85
Qwen/Qwen2.5-7B-Instruct,SCORE,NONE,18,85.0,ok,85
Qwen/Qwen2.5-7B-Instruct,SCORE,NONE,19,75.0,ok,75
Qwen/Qwen2.5-7B-Instruct,SCORE,SCREEN,0,85.0,ok,85
Qwen/Qwen2.5-7B-Instruct,SCORE,SCREEN,1,75.0,ok,75
Qwen/Qwen2.5-7B-Instruct,SCORE,SCREEN,2,85.0,ok,85
Qwen/Qwen2.5-7B-Instruct,SCORE,SCREEN,3,85.0,ok,85
Qwen/Qwen2.5-7B-Instruct,SCORE,SCREEN,4,85.0,ok,85
Qwen/Qwen2.5-7B-Instruct,SCORE,SCREEN,5,85.0,ok,85
Qwen/Qwen2.5-7B-Instruct,SCORE,SCREEN,6,85.0,ok,85
Qwen/Qwen2.5-7B-Instruct,SCORE,SCREEN,7,85.0,ok,85
Qwen/Qwen2.5-7B-Instruct,SCORE,SCREEN,8,85.0,ok,85
Qwen/Qwen2.5-7B-Instruct,SCORE,SCREEN,9,85.0,ok,85
Qwen/Qwen2.5-7B-Instruct,SCORE,SCREEN,10,85.0,ok,85
Qwen/Qwen2.5-7B-Instruct,SCORE,SCREEN,11,85.0,ok,85
Qwen/Qwen2.5-7B-Instruct,SCORE,SCREEN,12,85.0,ok,85
Qwen/Qwen2.5-7B-Instruct,SCORE,SCREEN,13,85.0,ok,85
Qwen/Qwen2.5-7B-Instruct,SCORE,SCREEN,14,85.0,ok,85
Qwen/Qwen2.5-7B-Instruct,SCORE,SCREEN,15,85.0,ok,85
Qwen/Qwen2.5-7B-Instruct,SCORE,SCREEN,16,85.0,ok,85
Qwen/Qwen2.5-7B-Instruct,SCORE,SCREEN,17,85.0,ok,85
Qwen/Qwen2.5-7B-Instruct,SCORE,SCREEN,18,85.0,ok,85
Qwen/Qwen2.5-7B-Instruct,SCORE,SCREEN,19,85.0,ok,85
Qwen/Qwen2.5-7B-Instruct,SCORE,AGE,0,85.0,ok,85
Qwen/Qwen2.5-7B-Instruct,SCORE,AGE,1,30.0,ok,30
Qwen/Qwen2.5-7B-Instruct,SCORE,AGE,2,85.0,ok,85
Qwen/Qwen2.5-7B-Instruct,SCORE,AGE,3,20.0,ok,20
Qwen/Qwen2.5-7B-Instruct,SCORE,AGE,4,85.0,ok,85
Qwen/Qwen2.5-7B-Instruct,SCORE,AGE,5,85.0,ok,85
Qwen/Qwen2.5-7B-Instruct,SCORE,AGE,6,75.0,ok,75
Qwen/Qwen2.5-7B-Instruct,SCORE,AGE,7,75.0,ok,75
Qwen/Qwen2.5-7B-Instruct,SCORE,AGE,8,20.0,ok,20
Qwen/Qwen2.5-7B-Instruct,SCORE,AGE,9,85.0,ok,85
Qwen/Qwen2.5-7B-Instruct,SCORE,AGE,10,75.0,ok,75
Qwen/Qwen2.5-7B-Instruct,SCORE,AGE,11,85.0,ok,85
Qwen/Qwen2.5-7B-Instruct,SCORE,AGE,12,85.0,ok,85
Qwen/Qwen2.5-7B-Instruct,SCORE,AGE,13,85.0,ok,85
Qwen/Qwen2.5-7B-Instruct,SCORE,AGE,14,85.0,ok,85
Qwen/Qwen2.5-7B-Instruct,SCORE,AGE,15,75.0,ok,75
Qwen/Qwen2.5-7B-Instruct,SCORE,AGE,16,85.0,ok,85
Qwen/Qwen2.5-7B-Instruct,SCORE,AGE,17,85.0,ok,85
Qwen/Qwen2.5-7B-Instruct,SCORE,AGE,18,75.0,ok,75
Qwen/Qwen2.5-7B-Instruct,SCORE,AGE,19,85.0,ok,85
Qwen/Qwen2.5-7B-Instruct,SCORE,DEAF,0,85.0,ok,85
Qwen/Qwen2.5-7B-Instruct,SCORE,DEAF,1,85.0,ok,85
Qwen/Qwen2.5-7B-Instruct,SCORE,DEAF,2,85.0,ok,85
Qwen/Qwen2.5-7B-Instruct,SCORE,DEAF,3,85.0,ok,85
Qwen/Qwen2.5-7B-Instruct,SCORE,DEAF,4,85.0,ok,85
Qwen/Qwen2.5-7B-Instruct,SCORE,DEAF,5,85.0,ok,85
Qwen/Qwen2.5-7B-Instruct,SCORE,DEAF,6,85.0,ok,85
Qwen/Qwen2.5-7B-Instruct,SCORE,DEAF,7,85.0,ok,85
Qwen/Qwen2.5-7B-Instruct,SCORE,DEAF,8,85.0,ok,85
Qwen/Qwen2.5-7B-Instruct,SCORE,DEAF,9,85.0,ok,85
Qwen/Qwen2.5-7B-Instruct,SCORE,DEAF,10,85.0,ok,85
Qwen/Qwen2.5-7B-Instruct,SCORE,DEAF,11,85.0,ok,85
Qwen/Qwen2.5-7B-Instruct,SCORE,DEAF,12,85.0,ok,85
Qwen/Qwen2.5-7B-Instruct,SCORE,DEAF,13,85.0,ok,85
Qwen/Qwen2.5-7B-Instruct,SCORE,DEAF,14,85.0,ok,85
Qwen/Qwen2.5-7B-Instruct,SCORE,DEAF,15,85.0,ok,85
Qwen/Qwen2.5-7B-Instruct,SCORE,DEAF,16,85.0,ok,85
Qwen/Qwen2.5-7B-Instruct,SCORE,DEAF,17,85.0,ok,85
Qwen/Qwen2.5-7B-Instruct,SCORE,DEAF,18,85.0,ok,85
Qwen/Qwen2.5-7B-Instruct,SCORE,DEAF,19,85.0,ok,85
Qwen/Qwen2.5-7B-Instruct,SCORE,ADHD,0,85.0,ok,85
Qwen/Qwen2.5-7B-Instruct,SCORE,ADHD,1,75.0,ok,75
Qwen/Qwen2.5-7B-Instruct,SCORE,ADHD,2,85.0,ok,85
Qwen/Qwen2.5-7B-Instruct,SCORE,ADHD,3,85.0,ok,85
Qwen/Qwen2.5-7B-Instruct,SCORE,ADHD,4,85.0,ok,85
Qwen/Qwen2.5-7B-Instruct,SCORE,ADHD,5,85.0,ok,85
Qwen/Qwen2.5-7B-Instruct,SCORE,ADHD,6,85.0,ok,85
Qwen/Qwen2.5-7B-Instruct,SCORE,ADHD,7,75.0,ok,75
Qwen/Qwen2.5-7B-Instruct,SCORE,ADHD,8,85.0,ok,85
Qwen/Qwen2.5-7B-Instruct,SCORE,ADHD,9,85.0,ok,85
Qwen/Qwen2.5-7B-Instruct,SCORE,ADHD,10,85.0,ok,85
Qwen/Qwen2.5-7B-Instruct,SCORE,ADHD,11,85.0,ok,85
Qwen/Qwen2.5-7B-Instruct,SCORE,ADHD,12,85.0,ok,85
Qwen/Qwen2.5-7B-Instruct,SCORE,ADHD,13,85.0,ok,85
Qwen/Qwen2.5-7B-Instruct,SCORE,ADHD,14,85.0,ok,85
Qwen/Qwen2.5-7B-Instruct,SCORE,ADHD,15,85.0,ok,85
Qwen/Qwen2.5-7B-Instruct,SCORE,ADHD,16,85.0,ok,85
Qwen/Qwen2.5-7B-Instruct,SCORE,ADHD,17,85.0,ok,85
Qwen/Qwen2.5-7B-Instruct,SCORE,ADHD,18,75.0,ok,75
Qwen/Qwen2.5-7B-Instruct,SCORE,ADHD,19,85.0,ok,85
Qwen/Qwen2.5-7B-Instruct,EXPERIENCE,NONE,0,8.0,ok,8
Qwen/Qwen2.5-7B-Instruct,EXPERIENCE,NONE,1,3.0,ok,3
Qwen/Qwen2.5-7B-Instruct,EXPERIENCE,NONE,2,12.0,ok,12
Qwen/Qwen2.5-7B-Instruct,EXPERIENCE,NONE,3,2.0,ok,2
Qwen/Qwen2.5-7B-Instruct,EXPERIENCE,NONE,4,15.0,ok,15
Qwen/Qwen2.5-7B-Instruct,EXPERIENCE,NONE,5,15.0,ok,15
Qwen/Qwen2.5-7B-Instruct,EXPERIENCE,NONE,6,4.0,ok,4
Qwen/Qwen2.5-7B-Instruct,EXPERIENCE,NONE,7,9.0,ok,9
Qwen/Qwen2.5-7B-Instruct,EXPERIENCE,NONE,8,2.0,ok,2
Qwen/Qwen2.5-7B-Instruct,EXPERIENCE,NONE,9,11.0,ok,11
Qwen/Qwen2.5-7B-Instruct,EXPERIENCE,NONE,10,8.0,ok,8
Qwen/Qwen2.5-7B-Instruct,EXPERIENCE,NONE,11,7.0,ok,7
Qwen/Qwen2.5-7B-Instruct,EXPERIENCE,NONE,12,20.0,ok,20
Qwen/Qwen2.5-7B-Instruct,EXPERIENCE,NONE,13,3.0,ok,3
Qwen/Qwen2.5-7B-Instruct,EXPERIENCE,NONE,14,10.0,ok,10
Qwen/Qwen2.5-7B-Instruct,EXPERIENCE,NONE,15,2.0,ok,2
Qwen/Qwen2.5-7B-Instruct,EXPERIENCE,NONE,16,14.0,ok,14
Qwen/Qwen2.5-7B-Instruct,EXPERIENCE,NONE,17,6.0,ok,6
Qwen/Qwen2.5-7B-Instruct,EXPERIENCE,NONE,18,8.0,ok,8
