model,model_key,question,signal,profile,order,choice,signal_won,raw_output
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,24,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,24,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,25,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,25,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,26,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,26,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,27,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,27,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,28,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,28,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,29,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,29,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,30,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,30,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,31,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,31,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,32,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,32,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,33,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,33,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,34,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,34,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,35,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,35,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,36,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,36,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,37,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,37,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,38,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,38,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,39,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,39,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,40,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,40,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,41,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,41,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,42,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,42,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,43,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,43,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,44,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,44,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,45,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,45,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,46,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,46,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,47,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,47,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,48,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,48,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,49,sig_second,B,1,B
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,49,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,50,sig_second,B,1,B
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,50,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,51,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,51,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,52,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,52,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,53,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,53,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,54,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,54,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,55,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,55,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,56,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,56,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,57,sig_second,B,1,B
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,57,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,58,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,58,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,59,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,59,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,60,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,60,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,61,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,61,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,62,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,62,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,63,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,63,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,64,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,64,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,65,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,65,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,66,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,66,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,67,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,67,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,68,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,68,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,69,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,69,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,70,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,70,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,71,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,71,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,72,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,72,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,73,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,73,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,74,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,74,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,75,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,75,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,76,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,76,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,77,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,77,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,78,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,78,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,79,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,79,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,80,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,80,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,81,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,81,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,82,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,82,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,83,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,83,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,84,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,84,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,85,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,85,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,86,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,86,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,87,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,87,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,88,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,88,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,89,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,89,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,90,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,90,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,91,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,91,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,92,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,92,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,93,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,93,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,94,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,94,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,95,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,95,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,96,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,96,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,97,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,97,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,98,sig_second,B,1,B
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,98,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,99,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,CONTROL,99,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,SCREEN,0,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,SCREEN,0,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,SCREEN,1,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,SCREEN,1,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,SCREEN,2,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,SCREEN,2,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,SCREEN,3,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,SCREEN,3,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,SCREEN,4,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,SCREEN,4,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,SCREEN,5,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,SCREEN,5,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,SCREEN,6,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,SCREEN,6,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,SCREEN,7,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,SCREEN,7,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,SCREEN,8,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,SCREEN,8,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,SCREEN,9,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,SCREEN,9,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,SCREEN,10,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,SCREEN,10,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,SCREEN,11,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,SCREEN,11,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,SCREEN,12,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,SCREEN,12,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,SCREEN,13,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,SCREEN,13,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,SCREEN,14,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,SCREEN,14,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,SCREEN,15,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,SCREEN,15,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,SCREEN,16,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,SCREEN,16,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,SCREEN,17,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,SCREEN,17,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,SCREEN,18,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,SCREEN,18,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,SCREEN,19,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,SCREEN,19,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,SCREEN,20,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,SCREEN,20,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,SCREEN,21,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,SCREEN,21,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,SCREEN,22,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,SCREEN,22,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,SCREEN,23,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,SCREEN,23,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,SCREEN,24,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,SCREEN,24,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,SCREEN,25,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,SCREEN,25,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,SCREEN,26,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,SCREEN,26,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,SCREEN,27,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,SCREEN,27,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,SCREEN,28,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,SCREEN,28,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,SCREEN,29,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,SCREEN,29,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,SCREEN,30,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,SCREEN,30,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,SCREEN,31,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,SCREEN,31,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,SCREEN,32,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,SCREEN,32,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,SCREEN,33,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,SCREEN,33,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,SCREEN,34,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,SCREEN,34,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,SCREEN,35,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,SCREEN,35,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,SCREEN,36,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,SCREEN,36,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,SCREEN,37,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,SCREEN,37,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,SCREEN,38,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,SCREEN,38,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,SCREEN,39,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,SCREEN,39,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,SCREEN,40,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,SCREEN,40,sig_first,A,1,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,SCREEN,41,sig_second,A,0,A
meta-llama/Llama-3.1-8B-Instruct,llama,HIRE,SCREEN,41,sig_first,A,1,A
