id,family,question,answer,answer_kind
T133,table,Quarterly units sold. North: 788; South: 337; East: 892; Central: 522. Which region sold the most?,East,text
T134,table,Quarterly units sold. West: 469; East: 526; North: 123; South: 627. What is the difference between the highest and the lowest region?,504,number
T135,table,Quarterly units sold. South: 823; Central: 381; North: 335; East: 775. Which region sold the most?,South,text
T136,table,Quarterly units sold. East: 143; North: 149; South: 625; Central: 780. What is the difference between the highest and the lowest region?,637,number
T137,table,Quarterly units sold. South: 603; East: 775; Central: 407; West: 886. What is the difference between the highest and the lowest region?,479,number
T138,table,Quarterly units sold. South: 837; North: 181; Central: 392; West: 382. What is the total across all regions?,1792,number
T139,table,Quarterly units sold. East: 361; South: 829; West: 736; North: 853. What is the difference between the highest and the lowest region?,492,number
T140,table,Quarterly units sold. Central: 393; North: 103; East: 566; West: 863. What is the difference between the highest and the lowest region?,760,number
T141,table,Quarterly units sold. West: 340; Central: 486; North: 487; South: 813. What is the difference between the highest and the lowest region?,473,number
T142,table,Quarterly units sold. Central: 461; East: 142; South: 109; North: 431. Which region sold the most?,Central,text
T143,table,Quarterly units sold. West: 485; North: 817; South: 265; East: 754. Which region sold the least?,South,text
T144,table,Quarterly units sold. Central: 673; South: 653; East: 379; North: 620. What is the difference between the highest and the lowest region?,294,number
T145,table,Quarterly units sold. West: 664; North: 543; Central: 622; East: 504. What is the difference between the highest and the lowest region?,160,number
T146,logic,Alex is older than Devon. Devon is older than Frankie. Frankie is older than Bailey. Who is the second oldest?,Devon,text
T147,logic,Bailey is older than Alex. Frankie is older than Gray. Gray is older than Bailey. Who is the youngest?,Alex,text
T148,logic,Gray is older than Bailey. Bailey is older than Alex. Alex is older than Devon. Who is the oldest?,Gray,text
T149,logic,Gray is older than Frankie. Alex is older than Gray. Devon is older than Alex. Who is the youngest?,Frankie,text
T150,logic,Alex is older than Devon. Bailey is older than Alex. Devon is older than Casey. Who is the youngest?,Casey,text
T151,logic,Devon is older than Bailey. Alex is older than Devon. Bailey is older than Frankie. Who is the second oldest?,Devon,text
T152,logic,Gray is older than Bailey. Frankie is older than Ellis. Bailey is older than Frankie. Who is the oldest?,Gray,text
T153,logic,Casey is older than Devon. Devon is older than Alex. Ellis is older than Casey. Who is the second oldest?,Casey,text
T154,logic,Ellis is older than Casey. Gray is older than Ellis. Casey is older than Devon. Who is the oldest?,Gray,text
T155,logic,Bailey is older than Devon. Alex is older than Gray. Gray is older than Bailey. Who is the oldest?,Alex,text
T156,logic,Alex is older than Gray. Casey is older than Bailey. Gray is older than Casey. Who is the youngest?,Bailey,text
T157,logic,Gray is older than Casey. Alex is older than Gray. Casey is older than Bailey. Who is the youngest?,Bailey,text
T158,logic,Casey is older than Devon. Ellis is older than Casey. Frankie is older than Ellis. Who is the youngest?,Devon,text
T159,logic,Frankie is older than Bailey. Ellis is older than Alex. Bailey is older than Ellis. Who is the youngest?,Alex,text
T160,logic,Casey is older than Bailey. Bailey is older than Ellis. Ellis is older than Devon. Who is the second oldest?,Bailey,text
T161,logic,Devon is older than Bailey. Bailey is older than Gray. Casey is older than Devon. Who is the second oldest?,Devon,text
T162,logic,Bailey is older than Ellis. Alex is older than Bailey. Ellis is older than Devon. Who is the oldest?,Alex,text
T163,logic,Gray is older than Casey. Frankie is older than Gray. Alex is older than Frankie. Who is the second oldest?,Frankie,text
T164,logic,Frankie is older than Gray. Casey is older than Frankie. Bailey is older than Casey. Who is the oldest?,Bailey,text
T165,logic,Alex is older than Bailey. Devon is older than Frankie. Frankie is older than Alex. Who is the youngest?,Bailey,text
T166,logic,Alex is older than Ellis. Casey is older than Gray. Ellis is older than Casey. Who is the youngest?,Gray,text
T167,logic,Bailey is older than Devon. Alex is older than Gray. Gray is older than Bailey. Who is the oldest?,Alex,text
T168,logic,Casey is older than Frankie. Frankie is older than Gray. Gray is older than Bailey. Who is the oldest?,Casey,text
T169,logic,Devon is older than Frankie. Bailey is older than Gray. Gray is older than Devon. Who is the oldest?,Bailey,text
T170,logic,Gray is older than Alex. Bailey is older than Gray. Alex is older than Casey. Who is the oldest?,Bailey,text
T171,rate,A vehicle travels 120 kilometres at a steady 60 kilometres per hour. How many hours does the journey take?,2,number
T172,rate,A vehicle travels 300 kilometres at a steady 30 kilometres per hour. How many hours does the journey take?,10,number
T173,rate,A vehicle travels 300 kilometres at a steady 75 kilometres per hour. How many hours does the journey take?,4,number
T174,rate,A vehicle travels 150 kilometres at a steady 45 kilometres per hour. How many hours does the journey take?,3.33333,number
T175,rate,A vehicle travels for 3 hours at a steady 60 kilometres per hour. How far does it travel?,180,number
T176,rate,A vehicle travels 90 kilometres at a steady 75 kilometres per hour. How many hours does the journey take?,1.2,number
T177,rate,A vehicle covers 120 kilometres in 4 hours. What is its average speed in kilometres per hour?,30,number
T178,rate,A vehicle travels for 3 hours at a steady 30 kilometres per hour. How far does it travel?,90,number
T179,rate,A vehicle travels 120 kilometres at a steady 40 kilometres per hour. How many hours does the journey take?,3,number
T180,rate,A vehicle travels 180 kilometres at a steady 45 kilometres per hour. How many hours does the journey take?,4,number
T181,rate,A vehicle travels 240 kilometres at a steady 75 kilometres per hour. How many hours does the journey take?,3.2,number
T182,rate,A vehicle covers 80 kilometres in 2 hours. What is its average speed in kilometres per hour?,40,number
T183,rate,A vehicle travels 150 kilometres at a steady 45 kilometres per hour. How many hours does the journey take?,3.33333,number
T184,rate,A vehicle travels for 2 hours at a steady 75 kilometres per hour. How far does it travel?,150,number
T185,rate,A vehicle travels for 2 hours at a steady 45 kilometres per hour. How far does it travel?,90,number
T186,rate,A vehicle covers 180 kilometres in 4 hours. What is its average speed in kilometres per hour?,45,number
T187,rate,A vehicle travels 300 kilometres at a steady 60 kilometres per hour. How many hours does the journey take?,5,number
T188,rate,A vehicle covers 240 kilometres in 4 hours. What is its average speed in kilometres per hour?,60,number
T189,rate,A vehicle travels 150 kilometres at a steady 45 kilometres per hour. How many hours does the journey take?,3.33333,number
T190,rate,A vehicle travels for 6 hours at a steady 45 kilometres per hour. How far does it travel?,270,number
T191,rate,A vehicle travels 240 kilometres at a steady 45 kilometres per hour. How many hours does the journey take?,5.33333,number
T192,rate,A vehicle covers 180 kilometres in 4 hours. What is its average speed in kilometres per hour?,45,number
T193,rate,A vehicle travels 120 kilometres at a steady 45 kilometres per hour. How many hours does the journey take?,2.66667,number
T194,rate,A vehicle travels 240 kilometres at a steady 45 kilometres per hour. How many hours does the journey take?,5.33333,number
T195,rate,A vehicle covers 180 kilometres in 6 hours. What is its average speed in kilometres per hour?,30,number
T196,rate,A vehicle travels 180 kilometres at a steady 40 kilometres per hour. How many hours does the journey take?,4.5,number
T197,rate,A vehicle covers 150 kilometres in 5 hours. What is its average speed in kilometres per hour?,30,number
T198,rate,A vehicle travels for 2 hours at a steady 30 kilometres per hour. How far does it travel?,60,number
T199,rate,A vehicle travels for 6 hours at a steady 45 kilometres per hour. How far does it travel?,270,number
T200,rate,A vehicle covers 120 kilometres in 3 hours. What is its average speed in kilometres per hour?,40,number
