model,model_key,cell,wrapper,signal,task_id,family,correct,answer_key,raw_output
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T055,word_problem,0,6480,$4320
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T056,word_problem,0,2916,"$1,944"
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T057,word_problem,0,3456,"$2,880"
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T058,word_problem,0,4800,$960
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T059,word_problem,0,4200,2100
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T060,word_problem,0,5250,$1050
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T061,word_problem,0,4410,$1470
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T062,word_problem,0,4752,4320
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T063,word_problem,0,6000,"$12,000"
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T064,word_problem,0,5000,"$10,000"
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T065,word_problem,0,10080,8400
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T066,conversion,1,2160,2160
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T067,conversion,0,1152,720
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T068,conversion,1,630,630
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T069,conversion,1,48000,48000
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T070,conversion,1,900,900
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T071,conversion,1,720,720
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T072,conversion,1,125000,125000
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T073,conversion,1,1440,1440
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T074,conversion,0,864,720
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T075,conversion,1,12000,12000
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T076,conversion,1,24000,24000
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T077,conversion,1,125000,125000
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T078,conversion,0,3000,2500
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T079,conversion,1,720,720
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T080,conversion,1,3000,3000
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T081,conversion,0,60000,6000
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T082,conversion,1,36000,"36,000"
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T083,conversion,1,15000,15000
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T084,conversion,1,12000,12000
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T085,conversion,1,105,105
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T086,conversion,0,360,720
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T087,conversion,0,7000,14000
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T088,conversion,1,72,72
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T089,conversion,0,48000,9600
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T090,conversion,1,720,720
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T091,date,1,25 April 2026,25 April 2026
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T092,date,0,10 June 2026,24 May 2026
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T093,date,0,27 April 2026,27 April 2046
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T094,date,1,26 November 2026,26 November 2026
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T095,date,0,08 October 2026,25 August 2026
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T096,date,1,11 November 2026,11 November 2026
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T097,date,1,16 March 2026,16 March 2026
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T098,date,0,01 June 2026,28 April 2026
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T099,date,0,16 October 2026,30 September 2026
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T100,date,0,12 June 2026,13 Jun 2026
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T101,date,0,24 June 2026,25 June 2026
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T102,date,0,25 July 2026,25 August 2026
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T103,date,1,14 November 2026,14 November 2026
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T104,date,0,06 February 2027,13 January 2027
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T105,date,0,08 May 2026,04 April 2026
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T106,date,0,30 October 2026,30 October 2030
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T107,date,0,05 June 2026,25 May 2026
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T108,date,0,08 October 2026,8 October 2026
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T109,date,0,10 August 2026,25 Jun 2026
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T110,date,0,17 December 2026,12 December 2026
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T111,date,0,13 January 2027,14 December 2026
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T112,date,0,07 October 2026,25 August 2026
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T113,date,0,26 August 2026,11 August 2026
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T114,date,1,26 January 2026,26 January 2026
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T115,date,0,18 September 2026,16 September 2026
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T116,table,1,North,North
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T117,table,0,1669,"2,589"
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T118,table,1,West,West
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T119,table,0,North,720
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T120,table,0,West,North
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T121,table,0,503,343
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T122,table,0,Central,832
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T123,table,0,South,510
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T124,table,0,1914,"2,814"
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T125,table,0,499,162
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T126,table,0,1865,"2,765"
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T127,table,0,Central,South
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T128,table,0,2623,"2,943"
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T129,table,0,617,340
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T130,table,1,West,West
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T131,table,0,529,354
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T132,table,1,2156,"2,156"
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T133,table,0,East,892
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T134,table,0,504,202
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T135,table,1,South,South
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T136,table,0,637,245
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T137,table,0,479,286
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T138,table,0,1792,"2,812"
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T139,table,0,492,123
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T140,table,0,760,163
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T141,table,0,473,163
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T142,table,1,Central,Central
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T143,table,0,South,265
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T144,table,0,294,123
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T145,table,0,160,122
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T146,logic,0,Devon,2
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T147,logic,1,Alex,Alex
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T148,logic,1,Gray,Gray
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T149,logic,0,Frankie,3
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T150,logic,1,Casey,Casey
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T151,logic,0,Devon,2
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T152,logic,1,Gray,Gray
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T153,logic,0,Casey,2
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T154,logic,1,Gray,Gray
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T155,logic,1,Alex,Alex
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T156,logic,1,Bailey,Bailey
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T157,logic,1,Bailey,Bailey
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T158,logic,1,Devon,Devon
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T159,logic,1,Alex,Alex
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T160,logic,0,Bailey,2
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T161,logic,0,Devon,3
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T162,logic,1,Alex,Alex
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T163,logic,0,Frankie,2
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T164,logic,1,Bailey,Bailey
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T165,logic,1,Bailey,Bailey
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T166,logic,1,Gray,Gray
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T167,logic,1,Alex,Alex
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T168,logic,1,Casey,Casey
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T169,logic,1,Bailey,Bailey
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T170,logic,1,Bailey,Bailey
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T171,rate,1,2,2
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T172,rate,1,10,10
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T173,rate,1,4,4
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T174,rate,0,3.33333,3.33
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T175,rate,1,180,180
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T176,rate,1,1.2,1.2
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T177,rate,1,30,30
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T178,rate,1,90,90
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T179,rate,1,3,3
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T180,rate,1,4,4
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T181,rate,1,3.2,3.2
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T182,rate,1,40,40
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T183,rate,0,3.33333,3.33
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T184,rate,1,150,150
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T185,rate,1,90,90
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T186,rate,1,45,45
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T187,rate,1,5,5
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T188,rate,1,60,60
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T189,rate,0,3.33333,3.33
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T190,rate,1,270,270
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T191,rate,0,5.33333,5.33
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T192,rate,1,45,45
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T193,rate,0,2.66667,2.67
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T194,rate,0,5.33333,5.33
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T195,rate,1,30,30
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T196,rate,1,4.5,4.5
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T197,rate,1,30,30
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T198,rate,1,60,60
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T199,rate,1,270,270
meta-llama/Llama-3.1-8B-Instruct,llama,W1_NONE,W1,NONE,T200,rate,1,40,40
meta-llama/Llama-3.1-8B-Instruct,llama,W1_S01,W1,S01,T001,percentage,1,3480,"$3,480"
meta-llama/Llama-3.1-8B-Instruct,llama,W1_S01,W1,S01,T002,percentage,0,312.5,62.5
meta-llama/Llama-3.1-8B-Instruct,llama,W1_S01,W1,S01,T003,percentage,0,288,36
meta-llama/Llama-3.1-8B-Instruct,llama,W1_S01,W1,S01,T004,percentage,1,1044,"$1,044"
meta-llama/Llama-3.1-8B-Instruct,llama,W1_S01,W1,S01,T005,percentage,0,500,50
meta-llama/Llama-3.1-8B-Instruct,llama,W1_S01,W1,S01,T006,percentage,0,26.4,24
meta-llama/Llama-3.1-8B-Instruct,llama,W1_S01,W1,S01,T007,percentage,1,697,$697.00
meta-llama/Llama-3.1-8B-Instruct,llama,W1_S01,W1,S01,T008,percentage,0,540,360
meta-llama/Llama-3.1-8B-Instruct,llama,W1_S01,W1,S01,T009,percentage,0,127.5,67.5
meta-llama/Llama-3.1-8B-Instruct,llama,W1_S01,W1,S01,T010,percentage,1,150,$150
meta-llama/Llama-3.1-8B-Instruct,llama,W1_S01,W1,S01,T011,percentage,1,1408,$1408
meta-llama/Llama-3.1-8B-Instruct,llama,W1_S01,W1,S01,T012,percentage,0,119,21
meta-llama/Llama-3.1-8B-Instruct,llama,W1_S01,W1,S01,T013,percentage,0,528,48
meta-llama/Llama-3.1-8B-Instruct,llama,W1_S01,W1,S01,T014,percentage,0,30,24
meta-llama/Llama-3.1-8B-Instruct,llama,W1_S01,W1,S01,T015,percentage,0,552.5,$556.50
meta-llama/Llama-3.1-8B-Instruct,llama,W1_S01,W1,S01,T016,percentage,0,672,960
meta-llama/Llama-3.1-8B-Instruct,llama,W1_S01,W1,S01,T017,percentage,1,2560,$2560
meta-llama/Llama-3.1-8B-Instruct,llama,W1_S01,W1,S01,T018,percentage,0,422.4,384
meta-llama/Llama-3.1-8B-Instruct,llama,W1_S01,W1,S01,T019,percentage,0,192,240
meta-llama/Llama-3.1-8B-Instruct,llama,W1_S01,W1,S01,T020,percentage,0,30,24
meta-llama/Llama-3.1-8B-Instruct,llama,W1_S01,W1,S01,T021,percentage,0,108,36
meta-llama/Llama-3.1-8B-Instruct,llama,W1_S01,W1,S01,T022,percentage,0,196.8,$196
meta-llama/Llama-3.1-8B-Instruct,llama,W1_S01,W1,S01,T023,percentage,0,225,75
meta-llama/Llama-3.1-8B-Instruct,llama,W1_S01,W1,S01,T024,percentage,1,90,90
meta-llama/Llama-3.1-8B-Instruct,llama,W1_S01,W1,S01,T025,percentage,0,500,50
meta-llama/Llama-3.1-8B-Instruct,llama,W1_S01,W1,S01,T026,percentage,0,352,336
meta-llama/Llama-3.1-8B-Instruct,llama,W1_S01,W1,S01,T027,percentage,0,960,96
meta-llama/Llama-3.1-8B-Instruct,llama,W1_S01,W1,S01,T028,percentage,0,324,36
meta-llama/Llama-3.1-8B-Instruct,llama,W1_S01,W1,S01,T029,percentage,0,420,360
meta-llama/Llama-3.1-8B-Instruct,llama,W1_S01,W1,S01,T030,percentage,0,849.6,$864
meta-llama/Llama-3.1-8B-Instruct,llama,W1_S01,W1,S01,T031,percentage,1,476,$476
meta-llama/Llama-3.1-8B-Instruct,llama,W1_S01,W1,S01,T032,percentage,0,1100,"$1,087.50"
meta-llama/Llama-3.1-8B-Instruct,llama,W1_S01,W1,S01,T033,percentage,1,1560,$1560
meta-llama/Llama-3.1-8B-Instruct,llama,W1_S01,W1,S01,T034,percentage,0,196,35
meta-llama/Llama-3.1-8B-Instruct,llama,W1_S01,W1,S01,T035,percentage,1,156,$156
meta-llama/Llama-3.1-8B-Instruct,llama,W1_S01,W1,S01,T036,word_problem,0,4374,"$1,944"
meta-llama/Llama-3.1-8B-Instruct,llama,W1_S01,W1,S01,T037,word_problem,0,3500,"$1,750"
meta-llama/Llama-3.1-8B-Instruct,llama,W1_S01,W1,S01,T038,word_problem,0,3360,840
meta-llama/Llama-3.1-8B-Instruct,llama,W1_S01,W1,S01,T039,word_problem,0,4200,"$1,080"
meta-llama/Llama-3.1-8B-Instruct,llama,W1_S01,W1,S01,T040,word_problem,0,1728,$432
meta-llama/Llama-3.1-8B-Instruct,llama,W1_S01,W1,S01,T041,word_problem,0,3600,"$1,200"
meta-llama/Llama-3.1-8B-Instruct,llama,W1_S01,W1,S01,T042,word_problem,0,12600,$4200
meta-llama/Llama-3.1-8B-Instruct,llama,W1_S01,W1,S01,T043,word_problem,0,3630,"$1,170"
meta-llama/Llama-3.1-8B-Instruct,llama,W1_S01,W1,S01,T044,word_problem,0,8064,3360
meta-llama/Llama-3.1-8B-Instruct,llama,W1_S01,W1,S01,T045,word_problem,0,12600,$840
meta-llama/Llama-3.1-8B-Instruct,llama,W1_S01,W1,S01,T046,word_problem,0,7840,"$2,160"
meta-llama/Llama-3.1-8B-Instruct,llama,W1_S01,W1,S01,T047,word_problem,1,6720,$6720
meta-llama/Llama-3.1-8B-Instruct,llama,W1_S01,W1,S01,T048,word_problem,1,6000,"$6,000"
meta-llama/Llama-3.1-8B-Instruct,llama,W1_S01,W1,S01,T049,word_problem,0,6480,"$5,040"
meta-llama/Llama-3.1-8B-Instruct,llama,W1_S01,W1,S01,T050,word_problem,0,4375,"$3,750"
meta-llama/Llama-3.1-8B-Instruct,llama,W1_S01,W1,S01,T051,word_problem,0,2700,"$1,080"
meta-llama/Llama-3.1-8B-Instruct,llama,W1_S01,W1,S01,T052,word_problem,0,1680,$840
meta-llama/Llama-3.1-8B-Instruct,llama,W1_S01,W1,S01,T053,word_problem,0,6930,2100
meta-llama/Llama-3.1-8B-Instruct,llama,W1_S01,W1,S01,T054,word_problem,0,4752,"$1,056"
meta-llama/Llama-3.1-8B-Instruct,llama,W1_S01,W1,S01,T055,word_problem,0,6480,$4320
meta-llama/Llama-3.1-8B-Instruct,llama,W1_S01,W1,S01,T056,word_problem,0,2916,"$1,944"
