model,model_key,question,signal,profile,order,lp_A,lp_B
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,59,sig_B,-0.008086,-10.633086
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,60,sig_A,-0.000447,-11.625447
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,60,sig_B,-0.000447,-11.625447
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,61,sig_A,-0.000209,-10.625209
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,61,sig_B,-0.000209,-10.625209
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,62,sig_A,-0.000111,-9.500111
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,62,sig_B,-0.000111,-9.500111
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,63,sig_A,-0.000701,-9.750701
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,63,sig_B,-0.000701,-9.750701
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,64,sig_A,-0.000182,-9.625182
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,64,sig_B,-0.000182,-9.625182
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,65,sig_A,-0.002683,-11.627684
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,65,sig_B,-0.002683,-11.627684
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,66,sig_A,-0.003566,-12.878566
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,66,sig_B,-0.003566,-12.878566
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,67,sig_A,-0.000297,-10.250297
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,67,sig_B,-0.000297,-10.250297
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,68,sig_A,-0.002229,-10.877230
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,68,sig_B,-0.002229,-10.877230
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,69,sig_A,-0.002041,-10.752041
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,69,sig_B,-0.002041,-10.752041
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,70,sig_A,-0.007333,-10.507333
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,70,sig_B,-0.007333,-10.507333
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,71,sig_A,-0.006505,-11.006505
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,71,sig_B,-0.006505,-11.006505
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,72,sig_A,-0.001165,-12.001165
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,72,sig_B,-0.001165,-12.001165
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,73,sig_A,-0.000635,-10.750635
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,73,sig_B,-0.000635,-10.750635
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,74,sig_A,-0.000094,-11.125093
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,74,sig_B,-0.000094,-11.125093
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,75,sig_A,-0.012698,-11.762698
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,75,sig_B,-0.012698,-11.762698
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,76,sig_A,-0.000216,-10.500216
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,76,sig_B,-0.000216,-10.500216
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,77,sig_A,-0.000159,-10.500159
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,77,sig_B,-0.000159,-10.500159
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,78,sig_A,-0.000235,-10.625235
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,78,sig_B,-0.000235,-10.625235
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,79,sig_A,-0.003449,-11.128449
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,79,sig_B,-0.003449,-11.128449
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,80,sig_A,-0.000415,-8.250415
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,80,sig_B,-0.000415,-8.250415
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,81,sig_A,-0.000591,-12.500591
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,81,sig_B,-0.000591,-12.500591
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,82,sig_A,-0.015317,-10.265317
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,82,sig_B,-0.015317,-10.265317
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,83,sig_A,-0.000040,-10.375039
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,83,sig_B,-0.000040,-10.375039
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,84,sig_A,-0.000274,-10.500274
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,84,sig_B,-0.000274,-10.500274
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,85,sig_A,-0.000844,-12.125844
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,85,sig_B,-0.000844,-12.125844
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,86,sig_A,-0.000051,-11.250051
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,86,sig_B,-0.000051,-11.250051
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,87,sig_A,-0.000633,-12.500632
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,87,sig_B,-0.000633,-12.500632
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,88,sig_A,-0.000197,-10.250196
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,88,sig_B,-0.000197,-10.250196
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,89,sig_A,-0.000854,-12.625854
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,89,sig_B,-0.000854,-12.625854
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,90,sig_A,-0.000132,-9.750132
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,90,sig_B,-0.000132,-9.750132
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,91,sig_A,-0.000383,-9.625382
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,91,sig_B,-0.000383,-9.625382
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,92,sig_A,-0.005461,-9.505461
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,92,sig_B,-0.005461,-9.505461
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,93,sig_A,-0.003239,-9.753240
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,93,sig_B,-0.003239,-9.753240
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,94,sig_A,-0.002387,-11.627387
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,94,sig_B,-0.002387,-11.627387
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,95,sig_A,-0.023300,-10.273300
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,95,sig_B,-0.023300,-10.273300
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,96,sig_A,-0.000128,-12.625128
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,96,sig_B,-0.000128,-12.625128
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,97,sig_A,-0.030609,-10.530609
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,97,sig_B,-0.030609,-10.530609
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,98,sig_A,-0.000834,-12.375834
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,98,sig_B,-0.000834,-12.375834
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,99,sig_A,-0.000665,-10.500666
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_ID,99,sig_B,-0.000665,-10.500666
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_PARA,0,sig_A,-0.038084,-3.288084
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_PARA,0,sig_B,-0.061974,-2.811975
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_PARA,1,sig_A,-0.023263,-3.773263
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_PARA,1,sig_B,-0.011063,-4.511063
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_PARA,2,sig_A,-0.011125,-4.511125
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_PARA,2,sig_B,-0.023247,-3.773247
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_PARA,3,sig_A,-0.127139,-2.127139
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_PARA,3,sig_B,-0.201424,-1.701424
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_PARA,4,sig_A,-0.201442,-1.701442
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_PARA,4,sig_B,-0.386873,-1.136873
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_PARA,5,sig_A,-0.061974,-2.811974
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_PARA,5,sig_B,-0.201414,-1.701414
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_PARA,6,sig_A,-0.008632,-4.758632
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_PARA,6,sig_B,-0.029761,-3.529761
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_PARA,7,sig_A,-0.003638,-5.628638
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_PARA,7,sig_B,-0.006731,-5.006731
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_PARA,8,sig_A,-0.100228,-2.350228
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_PARA,8,sig_B,-0.201433,-1.701433
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_PARA,9,sig_A,-0.029776,-3.529776
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_PARA,9,sig_B,-0.014176,-4.264176
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_PARA,10,sig_A,-0.006764,-5.006764
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_PARA,10,sig_B,-0.078902,-2.578902
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_PARA,11,sig_A,-0.005269,-5.255269
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_PARA,11,sig_B,-0.003187,-5.753187
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_PARA,12,sig_A,-0.011057,-4.511057
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_PARA,12,sig_B,-0.003180,-5.753181
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_PARA,13,sig_A,-0.048656,-3.048656
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_PARA,13,sig_B,-0.014195,-4.264194
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_PARA,14,sig_A,-1.313282,-0.313282
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_PARA,14,sig_B,-0.575945,-0.825945
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_PARA,15,sig_A,-0.474110,-0.974110
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_PARA,15,sig_B,-0.061983,-2.811983
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_PARA,16,sig_A,-0.029786,-3.529786
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_PARA,16,sig_B,-0.005248,-5.255248
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_PARA,17,sig_A,-0.079033,-2.579033
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_PARA,17,sig_B,-0.474156,-0.974156
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_PARA,18,sig_A,-0.029778,-3.529778
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_PARA,18,sig_B,-0.029760,-3.529760
Qwen/Qwen2.5-7B-Instruct,qwen,HIRE,CONTROL_PARA,19,sig_A,-0.018277,-4.018277
