model,model_key,condition,label,task_id,family,correct,answer_key,raw_output
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T105,date,0,08 May 2026,30 April 2026
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T106,date,1,30 October 2026,30 October 2026
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T107,date,0,05 June 2026,30 May 2026
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T108,date,0,08 October 2026,14 October 2026
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T109,date,0,10 August 2026,19 August 2026
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T110,date,0,17 December 2026,31 December 2026
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T111,date,0,13 January 2027,30 January 2027
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T112,date,0,07 October 2026,30 October 2026
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T113,date,0,26 August 2026,30 August 2026
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T114,date,0,26 January 2026,25 January 2026
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T115,date,0,18 September 2026,17 September 2026
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T116,table,1,North,North
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T117,table,1,1669,1669
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T118,table,1,West,West
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T119,table,1,North,North
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T120,table,1,West,West
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T121,table,1,503,503
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T122,table,1,Central,Central
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T123,table,1,South,South
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T124,table,1,1914,1914
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T125,table,0,499,316
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T126,table,1,1865,1865
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T127,table,1,Central,Central
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T128,table,1,2623,2623
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T129,table,1,617,617
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T130,table,1,West,West
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T131,table,0,529,229
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T132,table,1,2156,2156
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T133,table,1,East,East
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T134,table,0,504,204
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T135,table,0,South,East
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T136,table,0,637,235
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T137,table,0,479,483
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T138,table,1,1792,1792
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T139,table,1,492,492
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T140,table,0,760,459
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T141,table,1,473,473
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T142,table,0,Central,North
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T143,table,1,South,South: 265
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T144,table,1,294,294
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T145,table,1,160,160
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T146,logic,0,Devon,2
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T147,logic,0,Alex,Gray
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T148,logic,1,Gray,Gray
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T149,logic,1,Frankie,Frankie
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T150,logic,1,Casey,Casey
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T151,logic,0,Devon,Alex
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T152,logic,1,Gray,Gray
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T153,logic,0,Casey,Ellis
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T154,logic,1,Gray,Gray
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T155,logic,1,Alex,Alex
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T156,logic,1,Bailey,Bailey
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T157,logic,1,Bailey,Bailey
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T158,logic,1,Devon,Devon
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T159,logic,1,Alex,Alex
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T160,logic,0,Bailey,2
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T161,logic,0,Devon,Casey
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T162,logic,1,Alex,Alex
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T163,logic,0,Frankie,Alex
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T164,logic,1,Bailey,Bailey
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T165,logic,0,Bailey,Frankie
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T166,logic,1,Gray,Gray
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T167,logic,1,Alex,Alex
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T168,logic,1,Casey,Casey
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T169,logic,1,Bailey,Bailey
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T170,logic,1,Bailey,Bailey
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T171,rate,1,2,2
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T172,rate,1,10,10
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T173,rate,1,4,4
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T174,rate,0,3.33333,3.33
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T175,rate,1,180,180
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T176,rate,1,1.2,1.2
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T177,rate,1,30,30
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T178,rate,1,90,90
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T179,rate,1,3,3
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T180,rate,1,4,4
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T181,rate,1,3.2,3.2
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T182,rate,1,40,40
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T183,rate,0,3.33333,3.33
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T184,rate,1,150,150
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T185,rate,1,90,90
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T186,rate,1,45,45
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T187,rate,1,5,5
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T188,rate,1,60,60
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T189,rate,0,3.33333,3.33
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T190,rate,1,270,270
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T191,rate,0,5.33333,5.33
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T192,rate,1,45,45
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T193,rate,0,2.66667,2.67
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T194,rate,0,5.33333,5.33
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T195,rate,1,30,30
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T196,rate,1,4.5,4.5
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T197,rate,1,30,30
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T198,rate,1,60,60
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T199,rate,1,270,270
Qwen/Qwen2.5-7B-Instruct,qwen,BASE,baseline,T200,rate,1,40,40
Qwen/Qwen2.5-7B-Instruct,qwen,CTRL,"control, no signal",T001,percentage,0,3480,3420
Qwen/Qwen2.5-7B-Instruct,qwen,CTRL,"control, no signal",T002,percentage,1,312.5,312.5
Qwen/Qwen2.5-7B-Instruct,qwen,CTRL,"control, no signal",T003,percentage,1,288,288
Qwen/Qwen2.5-7B-Instruct,qwen,CTRL,"control, no signal",T004,percentage,0,1044,1053
Qwen/Qwen2.5-7B-Instruct,qwen,CTRL,"control, no signal",T005,percentage,1,500,500
Qwen/Qwen2.5-7B-Instruct,qwen,CTRL,"control, no signal",T006,percentage,1,26.4,26.4
Qwen/Qwen2.5-7B-Instruct,qwen,CTRL,"control, no signal",T007,percentage,0,697,687
Qwen/Qwen2.5-7B-Instruct,qwen,CTRL,"control, no signal",T008,percentage,1,540,540
Qwen/Qwen2.5-7B-Instruct,qwen,CTRL,"control, no signal",T009,percentage,1,127.5,127.5
Qwen/Qwen2.5-7B-Instruct,qwen,CTRL,"control, no signal",T010,percentage,1,150,150
Qwen/Qwen2.5-7B-Instruct,qwen,CTRL,"control, no signal",T011,percentage,1,1408,1408
Qwen/Qwen2.5-7B-Instruct,qwen,CTRL,"control, no signal",T012,percentage,1,119,119
Qwen/Qwen2.5-7B-Instruct,qwen,CTRL,"control, no signal",T013,percentage,1,528,528
Qwen/Qwen2.5-7B-Instruct,qwen,CTRL,"control, no signal",T014,percentage,1,30,30
Qwen/Qwen2.5-7B-Instruct,qwen,CTRL,"control, no signal",T015,percentage,0,552.5,557.5
Qwen/Qwen2.5-7B-Instruct,qwen,CTRL,"control, no signal",T016,percentage,1,672,672
Qwen/Qwen2.5-7B-Instruct,qwen,CTRL,"control, no signal",T017,percentage,1,2560,2560
Qwen/Qwen2.5-7B-Instruct,qwen,CTRL,"control, no signal",T018,percentage,1,422.4,422.4
Qwen/Qwen2.5-7B-Instruct,qwen,CTRL,"control, no signal",T019,percentage,1,192,192
Qwen/Qwen2.5-7B-Instruct,qwen,CTRL,"control, no signal",T020,percentage,1,30,30
Qwen/Qwen2.5-7B-Instruct,qwen,CTRL,"control, no signal",T021,percentage,1,108,108
Qwen/Qwen2.5-7B-Instruct,qwen,CTRL,"control, no signal",T022,percentage,0,196.8,194.4
Qwen/Qwen2.5-7B-Instruct,qwen,CTRL,"control, no signal",T023,percentage,1,225,225
Qwen/Qwen2.5-7B-Instruct,qwen,CTRL,"control, no signal",T024,percentage,1,90,90
Qwen/Qwen2.5-7B-Instruct,qwen,CTRL,"control, no signal",T025,percentage,1,500,500
Qwen/Qwen2.5-7B-Instruct,qwen,CTRL,"control, no signal",T026,percentage,1,352,352
Qwen/Qwen2.5-7B-Instruct,qwen,CTRL,"control, no signal",T027,percentage,1,960,960
Qwen/Qwen2.5-7B-Instruct,qwen,CTRL,"control, no signal",T028,percentage,1,324,324
Qwen/Qwen2.5-7B-Instruct,qwen,CTRL,"control, no signal",T029,percentage,1,420,420
Qwen/Qwen2.5-7B-Instruct,qwen,CTRL,"control, no signal",T030,percentage,0,849.6,846
Qwen/Qwen2.5-7B-Instruct,qwen,CTRL,"control, no signal",T031,percentage,1,476,476
Qwen/Qwen2.5-7B-Instruct,qwen,CTRL,"control, no signal",T032,percentage,1,1100,1100
Qwen/Qwen2.5-7B-Instruct,qwen,CTRL,"control, no signal",T033,percentage,1,1560,1560
Qwen/Qwen2.5-7B-Instruct,qwen,CTRL,"control, no signal",T034,percentage,1,196,196
Qwen/Qwen2.5-7B-Instruct,qwen,CTRL,"control, no signal",T035,percentage,1,156,156
Qwen/Qwen2.5-7B-Instruct,qwen,CTRL,"control, no signal",T036,word_problem,0,4374,486
Qwen/Qwen2.5-7B-Instruct,qwen,CTRL,"control, no signal",T037,word_problem,1,3500,3500
Qwen/Qwen2.5-7B-Instruct,qwen,CTRL,"control, no signal",T038,word_problem,0,3360,840
Qwen/Qwen2.5-7B-Instruct,qwen,CTRL,"control, no signal",T039,word_problem,0,4200,1470
Qwen/Qwen2.5-7B-Instruct,qwen,CTRL,"control, no signal",T040,word_problem,0,1728,576
Qwen/Qwen2.5-7B-Instruct,qwen,CTRL,"control, no signal",T041,word_problem,1,3600,3600
Qwen/Qwen2.5-7B-Instruct,qwen,CTRL,"control, no signal",T042,word_problem,0,12600,1470
Qwen/Qwen2.5-7B-Instruct,qwen,CTRL,"control, no signal",T043,word_problem,0,3630,385
Qwen/Qwen2.5-7B-Instruct,qwen,CTRL,"control, no signal",T044,word_problem,0,8064,3360
Qwen/Qwen2.5-7B-Instruct,qwen,CTRL,"control, no signal",T045,word_problem,0,12600,1050
Qwen/Qwen2.5-7B-Instruct,qwen,CTRL,"control, no signal",T046,word_problem,0,7840,1190
Qwen/Qwen2.5-7B-Instruct,qwen,CTRL,"control, no signal",T047,word_problem,0,6720,1680
Qwen/Qwen2.5-7B-Instruct,qwen,CTRL,"control, no signal",T048,word_problem,1,6000,6000
Qwen/Qwen2.5-7B-Instruct,qwen,CTRL,"control, no signal",T049,word_problem,0,6480,720
Qwen/Qwen2.5-7B-Instruct,qwen,CTRL,"control, no signal",T050,word_problem,0,4375,875
Qwen/Qwen2.5-7B-Instruct,qwen,CTRL,"control, no signal",T051,word_problem,0,2700,900
Qwen/Qwen2.5-7B-Instruct,qwen,CTRL,"control, no signal",T052,word_problem,0,1680,840
Qwen/Qwen2.5-7B-Instruct,qwen,CTRL,"control, no signal",T053,word_problem,0,6930,7140
Qwen/Qwen2.5-7B-Instruct,qwen,CTRL,"control, no signal",T054,word_problem,0,4752,4356
Qwen/Qwen2.5-7B-Instruct,qwen,CTRL,"control, no signal",T055,word_problem,0,6480,540
Qwen/Qwen2.5-7B-Instruct,qwen,CTRL,"control, no signal",T056,word_problem,0,2916,3402
Qwen/Qwen2.5-7B-Instruct,qwen,CTRL,"control, no signal",T057,word_problem,0,3456,936
Qwen/Qwen2.5-7B-Instruct,qwen,CTRL,"control, no signal",T058,word_problem,0,4800,1200
Qwen/Qwen2.5-7B-Instruct,qwen,CTRL,"control, no signal",T059,word_problem,1,4200,4200
Qwen/Qwen2.5-7B-Instruct,qwen,CTRL,"control, no signal",T060,word_problem,0,5250,4250
Qwen/Qwen2.5-7B-Instruct,qwen,CTRL,"control, no signal",T061,word_problem,0,4410,1190
Qwen/Qwen2.5-7B-Instruct,qwen,CTRL,"control, no signal",T062,word_problem,0,4752,4356
Qwen/Qwen2.5-7B-Instruct,qwen,CTRL,"control, no signal",T063,word_problem,0,6000,600
Qwen/Qwen2.5-7B-Instruct,qwen,CTRL,"control, no signal",T064,word_problem,0,5000,500
Qwen/Qwen2.5-7B-Instruct,qwen,CTRL,"control, no signal",T065,word_problem,0,10080,840
Qwen/Qwen2.5-7B-Instruct,qwen,CTRL,"control, no signal",T066,conversion,1,2160,2160
Qwen/Qwen2.5-7B-Instruct,qwen,CTRL,"control, no signal",T067,conversion,0,1152,384
Qwen/Qwen2.5-7B-Instruct,qwen,CTRL,"control, no signal",T068,conversion,1,630,630
Qwen/Qwen2.5-7B-Instruct,qwen,CTRL,"control, no signal",T069,conversion,0,48000,4800
Qwen/Qwen2.5-7B-Instruct,qwen,CTRL,"control, no signal",T070,conversion,1,900,900
Qwen/Qwen2.5-7B-Instruct,qwen,CTRL,"control, no signal",T071,conversion,0,720,72
Qwen/Qwen2.5-7B-Instruct,qwen,CTRL,"control, no signal",T072,conversion,1,125000,125000
Qwen/Qwen2.5-7B-Instruct,qwen,CTRL,"control, no signal",T073,conversion,1,1440,1440
Qwen/Qwen2.5-7B-Instruct,qwen,CTRL,"control, no signal",T074,conversion,0,864,288
Qwen/Qwen2.5-7B-Instruct,qwen,CTRL,"control, no signal",T075,conversion,1,12000,12000
Qwen/Qwen2.5-7B-Instruct,qwen,CTRL,"control, no signal",T076,conversion,1,24000,24000
Qwen/Qwen2.5-7B-Instruct,qwen,CTRL,"control, no signal",T077,conversion,1,125000,125000
Qwen/Qwen2.5-7B-Instruct,qwen,CTRL,"control, no signal",T078,conversion,0,3000,300
Qwen/Qwen2.5-7B-Instruct,qwen,CTRL,"control, no signal",T079,conversion,0,720,72
Qwen/Qwen2.5-7B-Instruct,qwen,CTRL,"control, no signal",T080,conversion,1,3000,3000
Qwen/Qwen2.5-7B-Instruct,qwen,CTRL,"control, no signal",T081,conversion,0,60000,6000
Qwen/Qwen2.5-7B-Instruct,qwen,CTRL,"control, no signal",T082,conversion,0,36000,3600
Qwen/Qwen2.5-7B-Instruct,qwen,CTRL,"control, no signal",T083,conversion,1,15000,15000
